number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
110,0.96205,0.08684615857064792,0.5631167238187553,logloss,0.0034887385559365935,0.008972148736729354,5,31,0.7096913239827257,gpu_hist,COMPLETE
111,0.97835,0.7852787644231433,0.540548859204549,logloss,0.0022644276583647844,0.04203440870778382,5,7,0.5394313659636976,gpu_hist,COMPLETE
112,0.9785666666666667,0.39099573021422257,0.5498766423270961,logloss,0.0015405835356970855,0.05401003820981697,5,15,0.7172176150951447,gpu_hist,COMPLETE
113,0.9782333333333333,0.3723904765446831,0.5205837312419754,logloss,0.002572413810808474,0.053284955944581866,5,17,0.7146094413004211,gpu_hist,COMPLETE
114,0.9779,0.43185266451362847,0.7604724508855893,logloss,0.0013011551384380076,0.06093349942399114,7,13,0.7284803978981009,gpu_hist,COMPLETE
115,0.9414166666666667,0.007122763649871384,0.4929141051604779,logloss,0.0017429366554929898,0.012530624256358716,3,23,0.754677990511974,gpu_hist,COMPLETE
116,0.9787666666666667,0.16940577878494292,0.7115350488338092,logloss,0.0029168346199548684,0.06579779564705084,5,6,0.6380207274301324,gpu_hist,COMPLETE
117,0.9791666666666666,0.24926983669645383,0.5784631775464568,logloss,0.002856657759310687,0.08341670031631526,5,6,0.6278035286007861,gpu_hist,COMPLETE
118,0.9782833333333333,0.2324007720571315,0.5780507392480101,logloss,0.0047654852838465945,0.0877388294042809,5,17,0.6340949359667101,gpu_hist,COMPLETE
119,0.97995,0.16563588765858442,0.5921144618321476,logloss,0.006098368498050574,0.07004703256316323,5,2,0.6199395832477568,gpu_hist,COMPLETE
120,0.97935,0.1818183458010027,0.609647104705175,logloss,0.006228496051026184,0.07670573611073461,5,5,0.6192524510919994,gpu_hist,COMPLETE
121,0.98045,0.20159263049623766,0.6294246280823046,logloss,0.005770102498299762,0.07834269132355326,5,1,0.600967317716234,gpu_hist,COMPLETE
122,0.9801833333333333,0.17688301180249344,0.6170172974547784,logloss,0.006457345333070939,0.08120900734438903,5,1,0.6192744219339987,gpu_hist,COMPLETE
